episode_id,video_id,clip_path,person_id,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,main_label,confidence,intensity,eye_involvement,mouth_movement,cheek_raise,symmetry,visible_quality,usable_for_training,note,occlusion_type,occlusion_start_frame,occlusion_end_frame,occlusion_severity,occlusion_note,occlusion_segments
E000053,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,19413,,20267,647.100,,675.567,neutral,5,3,3,3,3,symmetric,good,yes,,none,,,none,,[]
E000054,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,20267,,20528,675.567,,684.267,discard,5,3,3,3,3,symmetric,good,yes,,lower_face_occluded,20267,20528,severe,,"[{""start"": 20267, ""end"": 20528, ""type"": ""lower_face_occluded"", ""severity"": ""severe"", ""note"": """"}]"
E000055,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,20528,,20582,684.267,,686.067,neutral,5,3,3,3,3,symmetric,good,yes,,none,,,none,,[]
E000056,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,20582,,20723,686.067,,690.767,discard,5,3,3,3,3,symmetric,good,yes,,mouth_partial,20582,20664,mild,,"[{""start"": 20582, ""end"": 20664, ""type"": ""mouth_partial"", ""severity"": ""mild"", ""note"": """"}]"
E000057,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,20723,,21659,690.767,,721.967,neutral,5,3,3,3,3,symmetric,good,yes,,none,,,none,,[]
E000058,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,22932,,22937,764.400,,764.567,neutral,3,3,3,2,3,symmetric,good,no,,none,,,none,,[]
E000059,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,22937,,23309,764.567,,776.967,neutral,5,3,3,2,3,symmetric,good,yes,,none,,,none,,[]
E000060,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,23309,,23994,776.967,,799.800,neutral,5,3,3,2,3,symmetric,good,no,,none,,,none,,[]
E000061,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,23994,,24651,799.800,,821.700,neutral,5,3,3,2,3,symmetric,good,yes,,none,,,none,,[]
E000062,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,24651,24669,24780,821.700,822.300,826.000,polite_smile,5,3,3,2,3,symmetric,good,yes,,none,,,none,,[]
E000063,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,24780,,25067,826.000,,835.567,neutral,5,3,3,2,3,symmetric,good,yes,,none,,,none,,[]
