episode_id,video_id,clip_path,person_id,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,main_label,confidence,intensity,eye_involvement,mouth_movement,cheek_raise,symmetry,visible_quality,usable_for_training,note,occlusion_type,occlusion_start_frame,occlusion_end_frame,occlusion_severity,occlusion_note,occlusion_segments
E000020,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,6469,,7336,215.633,,244.533,neutral,5,3,3,3,3,symmetric,good,yes,,none,,,none,,[]
E000021,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,7336,,7801,244.533,,260.033,neutral,5,3,3,3,3,symmetric,good,yes,,none,,,none,,[]
E000022,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,7801,7834,7892,260.033,261.133,263.067,polite_smile,4,3,3,3,3,symmetric,good,yes,,none,,,none,,[]
E000023,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,7892,,8495,263.067,,283.167,neutral,5,3,3,3,3,symmetric,good,yes,,none,,,none,,[]
E000024,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,8495,,9038,283.167,,301.267,neutral,5,3,3,3,3,symmetric,good,yes,,none,,,none,,[]
E000025,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,9038,9118,9252,301.267,303.933,308.400,bitter_smile,4,3,3,3,3,symmetric,good,yes,,none,,,none,,[]
E000026,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,9252,,9410,308.400,,313.667,neutral,5,3,3,3,3,symmetric,good,yes,,none,,,none,,[]
E000027,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,9410,9432,9482,313.667,314.400,316.067,polite_smile,5,3,3,3,3,symmetric,good,yes,,none,,,none,,[]
E000028,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,9482,,9895,316.067,,329.833,neutral,5,3,3,3,3,symmetric,good,yes,,none,,,none,,[]
E000029,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,9895,9976,10047,329.833,332.533,334.900,polite_smile,5,3,3,3,3,symmetric,good,yes,,none,,,none,,[]
E000030,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,10047,,10454,334.900,,348.467,neutral,5,3,3,3,3,symmetric,good,yes,,none,,,none,,[]
E000031,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,10454,10489,10542,348.467,349.633,351.400,polite_smile,5,3,3,3,3,symmetric,good,yes,,none,,,none,,[]
E000032,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,10542,,11212,351.400,,373.733,neutral,5,3,3,3,3,symmetric,good,yes,,none,,,none,,[]
E000033,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,11212,,12140,373.733,,404.667,neutral,5,3,3,3,3,symmetric,good,yes,,none,,,none,,[]
E000034,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,12140,,12501,404.667,,416.700,discard,5,5,5,3,3,symmetric,good,yes,,mouth_partial,12140,12501,mild,,"[{""start"": 12140, ""end"": 12501, ""type"": ""mouth_partial"", ""severity"": ""mild"", ""note"": """"}]"
E000035,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,12501,,12931,416.700,,431.033,neutral,5,3,3,3,3,symmetric,good,yes,,none,,,none,,[]
E000036,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,12931,13078,13480,431.033,435.933,449.333,polite_smile,4,3,3,3,3,symmetric,good,yes,,none,,,none,,[]
E000037,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,13480,13550,13647,449.333,451.667,454.900,polite_smile,4,3,3,3,3,symmetric,good,yes,,none,,,none,,[]
E000038,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,13647,,14676,454.900,,489.200,neutral,5,3,3,3,3,symmetric,good,yes,,none,,,none,,[]
E000039,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,14676,,15351,489.200,,511.700,neutral,5,3,3,3,3,symmetric,good,yes,,none,,,none,,[]
E000040,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,15351,,15842,511.700,,528.067,neutral,5,3,3,3,3,symmetric,good,yes,,none,,,none,,[]
E000041,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,15842,15879,16057,528.067,529.300,535.233,polite_smile,5,3,3,3,3,symmetric,good,yes,,none,,,none,,[]
E000042,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,16057,,16370,535.233,,545.667,neutral,5,3,3,3,3,symmetric,good,yes,,none,,,none,,[]
