episode_id,video_id,clip_path,person_id,start_frame,peak_frame,end_frame,start_time,peak_time,end_time,main_label,confidence,intensity,eye_involvement,mouth_movement,cheek_raise,symmetry,visible_quality,usable_for_training,note,occlusion_type,occlusion_start_frame,occlusion_end_frame,occlusion_severity,occlusion_note,occlusion_segments
E000001,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,0,,2201,0.000,,73.367,neutral_or_no_smile,5,3,3,3,3,symmetric,good,yes,,none,,,none,,[]
E000002,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,2201,2210,2221,73.367,73.667,74.033,polite_like_smile,5,3,3,3,3,symmetric,good,yes,,mouth_partial,2218,2221,mild,,"[{""start"": 2218, ""end"": 2221, ""type"": ""mouth_partial"", ""severity"": ""mild"", ""note"": """"}]"
E000003,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,2221,,3683,74.033,,122.767,neutral_or_no_smile,5,3,3,3,3,symmetric,good,yes,,none,,,none,,[]
E000004,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,3683,3738,3816,122.767,124.600,127.200,polite_like_smile,5,3,3,3,3,symmetric,good,yes,,mouth_partial,3683,3816,mild,,"[{""start"": 3683, ""end"": 3816, ""type"": ""mouth_partial"", ""severity"": ""mild"", ""note"": """"}]"
E000005,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,3816,,4099,127.200,,136.633,neutral_or_no_smile,5,3,3,3,3,symmetric,good,yes,,none,,,none,,[]
E000006,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,4099,4115,4146,136.633,137.167,138.200,ambiguous_smile,3,3,3,3,3,symmetric,good,no,,lower_face_occluded,4099,4146,moderate,,"[{""start"": 4099, ""end"": 4146, ""type"": ""lower_face_occluded"", ""severity"": ""moderate"", ""note"": """"}]"
E000008,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,4146,4197,4272,138.200,139.900,142.400,genuine_like_smile,4,3,3,3,3,symmetric,good,no,,mouth_severe,4146,4257,moderate,,"[{""start"": 4146, ""end"": 4257, ""type"": ""mouth_severe"", ""severity"": ""moderate"", ""note"": """"}]"
E000009,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,4272,,4317,142.400,,143.900,neutral_or_no_smile,5,3,3,3,3,symmetric,good,yes,,none,,,none,,[]
E000010,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,4317,4484,4583,143.900,149.467,152.767,ambiguous_smile,4,3,3,3,3,symmetric,good,yes,,mouth_partial,4366,4544,mild,multiple occlusion segments,"[{""start"": 4366, ""end"": 4412, ""type"": ""mouth_partial"", ""severity"": ""mild"", ""note"": """"}, {""start"": 4487, ""end"": 4544, ""type"": ""mouth_partial"", ""severity"": ""mild"", ""note"": """"}]"
E000011,20250926,E:\Matsuda_data\rawdata\20250926.mp4,,4583,,4857,152.767,,161.900,neutral_or_no_smile,5,3,3,3,3,symmetric,good,yes,,none,,,none,,[]
