path,label,status
/workspace/smilingornot/smiling/20250926_0_0_27778.png,1,ok
/workspace/smilingornot/smiling/20250926_0_0_29853.png,1,ok
/workspace/smilingornot/smiling/20250926_0_0_32344.png,1,ok
/workspace/smilingornot/smiling/20250926_0_0_32450.png,1,ok
/workspace/smilingornot/smiling/20250926_0_0_34146.png,1,ok
/workspace/smilingornot/smiling/20250926_0_0_34252.png,1,ok
/workspace/smilingornot/smiling/20250926_0_0_50510.png,1,ok
/workspace/smilingornot/smiling/20250926_0_0_50523.png,1,ok
/workspace/smilingornot/smiling/20251008_0_0_8216.png,1,ok
/workspace/smilingornot/smiling/20251019_0_0_43021.png,1,ok
/workspace/smilingornot/smiling/20251029_0_0_36799.png,1,ok
/workspace/smilingornot/notsmiling/20250926_0_0_32672.png,0,ok
/workspace/smilingornot/notsmiling/20250926_0_0_35082.png,0,ok
/workspace/smilingornot/notsmiling/20250926_0_0_35553.png,0,ok
/workspace/smilingornot/notsmiling/20250926_0_0_36516.png,0,ok
/workspace/smilingornot/notsmiling/20250926_0_0_37599.png,0,ok
/workspace/smilingornot/notsmiling/20250926_0_0_43597.png,0,ok
/workspace/smilingornot/notsmiling/20250926_0_0_47697.png,0,ok
/workspace/smilingornot/notsmiling/20250926_0_0_50710.png,0,ok
/workspace/smilingornot/notsmiling/20250926_0_0_51229.png,0,ok
/workspace/smilingornot/notsmiling/20250926_0_0_62081.png,0,ok
/workspace/smilingornot/notsmiling/20250926_0_0_75360.png,0,ok
